Date,Model,EECU (hours),Completed,EECU (hours/task)
2025-11-03,PT-JPL,0.4,15,0.02666666666666667
2025-11-03,SIMS,0.2,56,0.0035714285714285718
2025-11-03,SSEBop,1.5,58,0.02586206896551724
2025-11-03,eeMETRIC,6.0,44,0.13636363636363635
2025-11-02,PT-JPL,0.4,10,0.04
2025-11-02,SIMS,0.2,50,0.004
2025-11-02,SSEBop,1.4,51,0.027450980392156862
2025-11-02,eeMETRIC,5.8,41,0.14146341463414633
2025-11-01,PT-JPL,0.4,21,0.01904761904761905
2025-11-01,SIMS,0.2,63,0.0031746031746031746
2025-11-01,SSEBop,1.3,66,0.0196969696969697
2025-11-01,eeMETRIC,5.8,40,0.145
2025-10-31,PT-JPL,0.5,41,0.012195121951219513
2025-10-31,SIMS,0.2,86,0.002325581395348837
2025-10-31,SSEBop,1.4,91,0.015384615384615384
2025-10-31,eeMETRIC,6.0,42,0.14285714285714285
2025-10-30,PT-JPL,0.6,3,0.19999999999999998
2025-10-30,SIMS,0.2,40,0.005
2025-10-30,SSEBop,1.6,40,0.04
2025-10-30,eeMETRIC,6.3,53,0.11886792452830189
2025-10-29,SIMS,0.2,47,0.00425531914893617
2025-10-29,SSEBop,1.6,49,0.0326530612244898
2025-10-29,eeMETRIC,5.8,38,0.15263157894736842
2025-10-28,SIMS,0.2,48,0.004166666666666667
2025-10-28,SSEBop,1.5,49,0.030612244897959183
2025-10-28,eeMETRIC,6.2,47,0.13191489361702127
2025-10-27,PT-JPL,0.4,20,0.02
2025-10-27,SIMS,0.2,72,0.002777777777777778
2025-10-27,SSEBop,1.5,74,0.02027027027027027
2025-10-27,eeMETRIC,5.9,48,0.12291666666666667
2025-10-26,PT-JPL,0.4,12,0.03333333333333333
2025-10-26,SIMS,0.2,101,0.0019801980198019802
2025-10-26,SSEBop,1.5,105,0.014285714285714285
2025-10-26,eeMETRIC,5.8,52,0.11153846153846153
2025-10-25,PT-JPL,0.5,22,0.022727272727272728
2025-10-25,SIMS,0.2,22,0.009090909090909092
2025-10-25,SSEBop,0.9,22,0.04090909090909091
2025-10-25,eeMETRIC,5.5,89,0.06179775280898876
2025-10-24,PT-JPL,0.5,13,0.038461538461538464
2025-10-24,SIMS,0.2,54,0.003703703703703704
2025-10-24,SSEBop,1.5,57,0.02631578947368421
2025-10-23,PT-JPL,0.5,64,0.0078125
2025-10-23,SIMS,0.2,83,0.0024096385542168677
2025-10-23,SSEBop,1.4,113,0.012389380530973451
2025-10-23,eeMETRIC,6.2,70,0.08857142857142858
